CustomerID,Recency,Frequency,Monetary,churn_risk,segment,top_reason,action_code
12346,325,12,77556.46,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12347,1,8,4921.53,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12348,74,5,2019.3999999999999,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12349,18,4,4428.6900000000005,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12350,309,1,334.40000000000003,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12351,374,1,300.93,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12352,35,10,2849.84,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12353,203,2,406.76,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12354,231,1,1079.4,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12355,213,2,947.61,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12356,22,6,6371.7300000000005,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12357,32,3,18287.66,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12358,1,5,3887.07,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12359,57,10,8873.39,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12360,51,8,4252.89,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12361,286,4,511.25,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12362,2,11,5356.2300000000005,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12363,109,2,552.0,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12364,7,4,1313.1,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12365,290,2,641.38,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12366,633,1,500.24,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12367,3,1,168.9,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12368,627,1,917.7,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12369,412,3,1791.15,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12370,50,7,4316.56,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12371,44,5,4067.38,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
