Actual,Predicted
20119.97,24193.754609999978
27080.46,34377.31140000001
26876.39,33735.27361
21635.561,32966.9026
25593.74,20888.659149999992
56243.32,23705.176600000003
18716.54,27260.86134
33209.68,27923.864229999992
21358.64,32738.11242999998
26575.55,30231.884499999996
28068.2,31601.70800000002
65496.79,40881.576499999974
21417.13,19641.890600000006
7543.86,29249.46003000001
23363.01,20207.900509999996
27672.24,36453.24122000004
28780.05,28731.973500000007
72372.89,45086.68629999999
32231.35,19143.77830000001
5701.87,28778.10663000001
17235.95,34216.55000000002
19234.53,28881.92113
53284.76,33354.23164
54059.1,36833.28009999997
17336.07,18738.246409999985
14420.27,30257.354900000013
29645.54,38025.71930000002
25978.59,32995.628820000005
48789.72,31985.736999999997
23773.43,20480.604700000014
25610.29,23954.102340000005
10686.56,26385.358440000004
31837.77,23522.35282000002
25367.22,28928.13672
37358.62,30109.4039
42226.28,25443.96092000002
17040.74,29377.160419999993
36898.35,22394.74621
28321.06,40519.19631000002
34413.53,35420.419760000004
27055.88,30151.72184000001
30016.33,33662.26929999996
35206.92,27115.56709999999
29526.29,34455.847730000016
55071.3,24627.664499999988
23578.78,28834.29912999999
78151.97,40547.53860000003
27720.27,39686.549499999994
15639.55,39622.59639999998
49250.87,39567.24160000001
109553.9,52115.618919999964
48529.72,49995.64869999999
59220.41,53784.15835000003
40574.4,59230.25669999999
31164.781,52678.83260999995
29270.841,55739.93125
36260.91,55258.77249999999
43693.08,47772.11660000002
46343.35,36190.87230000002
44347.06,35506.4248
11531.56,28171.003720000004
66243.94,41032.96510000003
48652.54,56617.67080000001
75460.77,39579.567999999985
62761.92,42036.89769999994
53692.5,37510.188399999955
12273.1,38375.66569999997
48121.66,76508.71850000002
52537.31,39759.31040000002
32083.11,43837.27799999996
37232.47,46064.78940000003
36294.58,39074.087899999984
21767.94,22107.813299999994
51925.61,48583.7395
45277.92,36720.163199999966
42467.72,37774.2391
60969.14,63180.36350999999
63173.39,37866.56369999996
12156.57,41804.461399999986
48335.52,75532.69120000002
41192.55,47588.96989999995
37729.47,43115.95019999999
57201.78,45817.58239999996
40455.26,46127.7106
34397.95,38270.64469999998
57327.45,58117.21520000002
29091.9,38938.056199999985
45690.08,55077.29540000001
63425.47,39512.753399999994
62594.59,51880.6521
42513.59,36615.12469999995
85705.3,57271.388430000006
57557.03,53053.40560999999
65879.97,65005.85895000009
70868.0,69312.01002000005
55107.87,56908.028230000025
33878.15,55429.34854999999
114237.4,64926.95373000002
60613.8,62622.520900000025
65672.53,61728.55352000001
60901.32,60376.569300000025
51130.39,61110.02191
34509.21,48792.45591
49674.6,63914.616420000064
63863.48,67862.56840000002
79847.0,52743.58432000001
50759.21,51407.617959999974
50690.4,45583.975319999976
20279.37,45853.38329999998
56965.73,64526.36980000001
72384.82,60789.68250999998
60025.57,51893.78174999998
52068.63,61288.84311000001
57476.48,45065.14809999994
24477.47,46234.09239999997
88620.84,86069.57304000002
56558.83,56680.98803000002
75315.55,60978.99824
82371.55,54690.47838000002
200918.98,65966.16624999995
